Query,Rank,Term,Pinyin Match,In Notes,Unigram Count,Hamming,Is Substring,Is Relevant
似閃電光,3,電光石火,0,0,2,4,0,1
似閃電光,4,閃電式結婚,0,0,2,5,0,0
似閃電光,5,閃光點,0,0,2,4,0,1
似閃電光,6,電子業,0,0,1,4,0,0
似閃電光,7,寒光閃閃,0,0,2,4,0,0
似閃電光,8,佛光電子大藏經,0,0,2,6,0,0
喚來與老僧洗脚,7,行脚僧,0,0,2,7,0,0
且喜沒交涉,1,涉過,0,0,1,5,0,0
只許老胡知,1,只要,0,0,1,4,0,0
與武帝對譚,8,梁武帝問達磨,0,0,2,4,0,1
與武帝對譚,9,孝武帝,0,0,2,3,0,0
與武帝對譚,10,宋武帝,0,0,2,3,0,0
自然見得,4,悠然自得,0,0,3,2,0,0
無計較情塵,4,無比較級,0,0,2,3,0,0
一刀截斷,2,一口吞尽,0,0,1,3,0,0
鷂子過新羅,5,波羅利子,0,0,2,5,0,0
此是雪竇忒殺老婆,1,時間是把殺豬刀,0,0,2,8,0,0
雪竇重拈一遍,6,雪窦重显,0,0,2,4,0,0
頌出事跡,7,生平事跡,0,0,2,2,0,0
武帝甞披袈裟,1,魏道武帝,0,0,2,6,0,0
許爾親見達磨,9,梁武帝問達磨,0,0,2,4,0,0
如何是聖諦第一義,4,一切經音義,0,0,2,8,0,0
如何是聖諦第一義,5,第一義諦,0,0,4,8,0,1
天下衲僧 跳不出,9,人無信不立 天有日方明,0,0,3,11,0,0
如今人多少錯會,4,古今人文協會,0,0,3,5,0,0
却去弄精魂,1,减去,0,0,1,4,0,0
且喜沒交涉,9,忧喜交集,0,0,2,4,0,0
五祖先師甞說,2,開山祖師,0,0,2,5,0,0
只這廓然無聖,1,無所有處定,0,0,1,6,0,0
一等是打葛藤,10,一网打尽,0,0,2,5,0,0
若是無這般手段,1,萬般無奈,0,0,2,6,0,0
揩定一則公案,4,一般原則,0,0,2,5,0,0
雪竇與他一拶,1,弹指一挥间,0,0,1,6,0,0
聖諦廓然,1,道聖諦,0,0,2,4,0,0
聖諦廓然,10,廓然無聖,0,0,3,4,0,1
再來不直半文錢,10,可一而不可再,0,0,2,7,0,0
因茲暗渡江,1,歸因,0,0,1,5,0,0
穿人鼻孔不得,8,不得人心,0,0,3,6,0,0
豈免生荊棘,8,披荊斬棘,0,0,2,5,0,0
脚跟下已深數丈,6,脚踏两只船,0,0,1,6,0,0
千古萬古空相憶,1,萬古千秋,0,0,3,6,0,1
千古萬古空相憶,2,江山千古秀 大地萬年青,0,0,3,10,0,0
向鬼窟裏作活計,1,鬼計多端,0,0,2,7,0,0
喚來與老僧洗脚,4,徐娘半老,0,0,1,6,0,0
且據雪竇頌此公案,1,白雪公主,0,0,2,8,0,0
達磨就中奇特,4,達磨多羅,0,0,2,4,0,0
千句萬句一時透,7,千載一時,0,0,3,6,0,0
達磨慈悲忒殺,2,阿毗達磨,0,0,2,6,0,0
一箭尋常落一鵰,4,一字不落,0,0,2,6,0,0
一箭尋常落一鵰,5,一箭二雕,0,0,2,5,0,1
直過少林,4,少林派,0,0,2,4,0,0
且得沒交涉,6,信得过,0,0,1,4,0,0
帝悔遂遣使去取,10,见取,0,0,1,7,0,0
也好與一拶,9,也好不了多少,0,0,2,4,0,0
倒退三千,3,退避三捨,0,0,2,3,0,0
和尚 既不知,3,不知天高地厚,0,0,2,6,0,0
禮拜了退,1,禮拜儀式,0,0,2,2,0,0
尋常舉此話頭,7,尋求,0,0,1,5,0,0
不干山僧事,5,不染污僧伦,0,0,2,3,0,0
落處,2,破處,0,0,1,1,0,0
落處,6,下處,0,0,1,1,0,1
雪竇有餘才,2,雪竇禪師,0,0,2,3,0,1
雪竇有餘才,3,恢恢有餘,0,0,2,3,0,0
雪竇頭上太孤峻生,3,雪竇重顯,0,0,2,6,0,1
雪竇頭上太孤峻生,5,彌勒上生經宗要,0,0,2,8,0,0
雪竇頭上太孤峻生,7,雪竇禪師,0,0,2,6,0,1
枯木龍吟銷未乾,6,龍門,0,0,1,7,0,0
只這便是交加處,8,只是,0,0,2,6,0,0
這僧恁麼問,1,學問僧,0,0,2,5,0,0
咬言嚼句,4,三言兩句,0,0,2,2,0,0
咬言嚼句,9,咬文嚼字,0,0,2,2,0,1
如何是枯木裏龍吟,3,枯木龍吟,0,0,4,8,0,1
如何是枯木裏龍吟,4,如是观,0,0,2,7,0,0
血脈不斷,2,血脈僨張,0,0,2,2,0,0
百丈道一切語言,1,七言八語,0,0,2,7,0,0
一一轉歸自己,2,一己,0,0,2,5,0,0
既是打葛藤頌了,8,钱，用了才是自己的,0,0,2,9,0,0
既是打葛藤頌了,9,打鑔,0,0,1,7,0,0
舉馬大師不安,3,马大师不安,0,0,3,6,0,1
舉馬大師不安,4,冒大不韪,0,0,2,6,0,0
枯木禪,2,蘇木,0,0,1,2,0,0
自是爾落草,2,是非自有公論,0,0,2,6,0,0
下蒼龍窟,1,下聯,0,0,1,3,0,0
明眼衲僧莫輕忽,1,眼明手快,0,0,2,7,0,0
