Query,Rank,Term,Pinyin Match,In Notes,Unigram Count,Hamming,Is Substring,Is Relevant
十指象箸玉杯,5,玉毫,0,0,1,6,0,0
十指象箸玉杯,6,好象,0,0,1,6,0,0
十指象箸玉杯,7,罩杯,0,0,1,6,0,0
十指象箸玉杯,8,道琼工业平均指数,0,0,1,8,0,0
十指象箸玉杯,9,十六,0,0,1,5,0,0
十指象箸玉杯,10,相对象,0,0,1,5,0,0
點鋼,1,鋼筋混凝土,0,0,1,5,0,0
點鋼,2,點斑林鴿,0,0,1,3,0,0
點鋼,3,居民點,0,0,1,3,0,0
點鋼,4,鋼梁,0,0,1,2,0,0
點鋼,5,尿點,0,0,1,2,0,0
點鋼,6,春分點,0,0,1,3,0,0
點鋼,7,點胸鴉雀,0,0,1,3,0,0
點鋼,8,清點,0,0,1,2,0,0
點鋼,9,快點,0,0,1,2,0,0
點鋼,10,零點,0,0,1,2,0,0
富有財物而不驕傲,1,兼而有之,0,0,2,8,0,0
富有財物而不驕傲,2,敢怒而不敢言,0,0,2,8,0,0
富有財物而不驕傲,3,有百利而無一弊,0,0,2,8,0,0
富有財物而不驕傲,4,而患不均,0,0,2,8,0,0
富有財物而不驕傲,5,華而不實,0,0,2,8,0,0
富有財物而不驕傲,6,心有餘而力不足,0,0,3,6,0,0
富有財物而不驕傲,7,有過之而無不及,0,0,3,7,0,0
富有財物而不驕傲,8,富而不骄,0,0,3,7,0,0
富有財物而不驕傲,9,不是_而是_,0,0,2,8,0,0
富有財物而不驕傲,10,不孝有三，无后为大,0,0,2,9,0,0
未若貧而樂,1,若有所失,0,0,1,5,0,0
未若貧而樂,2,未半,0,0,1,4,0,0
未若貧而樂,3,身随而卒,0,0,1,5,0,0
未若貧而樂,4,享樂主義,0,0,1,5,0,0
未若貧而樂,5,空手而歸,0,0,1,5,0,0
未若貧而樂,6,未簽字者,0,0,1,4,0,0
未若貧而樂,7,禮樂,0,0,1,5,0,0
未若貧而樂,8,料敵若神,0,0,1,5,0,0
未若貧而樂,9,何樂而不為,0,0,2,5,0,0
未若貧而樂,10,鼓樂,0,0,1,5,0,0
如琢如磨,1,頞浮陀達磨,0,0,1,5,0,0
如琢如磨,2,操纵自如,0,0,1,4,0,0
如琢如磨,3,晏如,0,0,1,4,0,0
如琢如磨,4,渾汗如雨,0,0,1,3,0,0
如琢如磨,5,刘如意,0,0,1,4,0,0
如琢如磨,6,如醉如痴,0,0,1,2,0,0
如琢如磨,7,如天之为,0,0,1,3,0,0
如琢如磨,8,白四羯磨,0,0,1,3,0,0
如琢如磨,9,磨刀不誤砍柴工,0,0,1,7,0,0
如琢如磨,10,伴君如伴虎,0,0,1,4,0,0
不患人之不己知,1,知其不可而為之,0,0,3,7,0,0
不患人之不己知,2,己所不欲勿施于人,0,0,3,8,0,0
不患人之不己知,3,己所不欲，勿施於人,0,0,3,9,0,0
不患人之不己知,4,知己知彼，百戰不殆,0,0,3,9,0,0
不患人之不己知,5,圣人知之,0,0,3,6,0,0
不患人之不己知,6,欲加之罪，何患无辞,0,0,2,9,0,0
不患人之不己知,7,知恩不報,0,0,2,7,0,0
不患人之不己知,8,不知好歹,0,0,2,6,0,0
不患人之不己知,9,人不知而不愠,0,0,3,6,0,0
不患人之不己知,10,司马昭之心路人皆知,0,0,3,8,0,0
不患人之不己知,1,不時之需,0,0,2,6,0,0
不患人之不己知,2,知恩不報,0,0,2,7,0,0
不患人之不己知,3,人而无信，不知其可,0,0,3,8,0,0
不患人之不己知,4,食不知味,0,0,2,7,0,0
不患人之不己知,5,知人之明,0,0,3,7,0,0
不患人之不己知,6,己所不欲勿施于人,0,0,3,8,0,0
不患人之不己知,7,人不為己，天誅地滅,0,0,3,9,0,0
不患人之不己知,8,不食人间烟火,0,0,2,5,0,0
不患人之不己知,9,知己,0,0,2,7,0,0
不患人之不己知,10,人情之理,0,0,2,7,0,0
不憂慮,1,杞人之憂,0,0,1,4,0,0
不憂慮,2,不通,0,0,1,2,0,0
不憂慮,3,不韪,0,0,1,2,0,0
不憂慮,4,不勝其苦,0,0,1,3,0,0
不憂慮,5,欲速而不达,0,0,1,5,0,0
不憂慮,6,熬不過,0,0,1,3,0,0
不憂慮,7,朝不慮夕,0,0,2,3,0,0
不憂慮,8,禅定力不可思议,0,0,1,7,0,0
不憂慮,9,不可数,0,0,1,2,0,0
不憂慮,10,差不多的,0,0,1,4,0,0
譬如北辰,1,东北虎,0,0,1,4,0,0
譬如北辰,2,生辰八字,0,0,1,4,0,0
譬如北辰,3,讳莫如深,0,0,1,4,0,0
譬如北辰,4,如厕,0,0,1,4,0,0
譬如北辰,5,机变如神,0,0,1,4,0,0
譬如北辰,6,忠淸北道,0,0,1,3,0,0
譬如北辰,7,不竭如江海,0,0,1,5,0,0
譬如北辰,8,心口如一,0,0,1,4,0,0
譬如北辰,9,北傳,0,0,1,4,0,0
譬如北辰,10,如來祕密藏經,0,0,1,6,0,0
居其所而眾星共之,1,所到之處,0,0,2,8,0,0
居其所而眾星共之,2,等而下之,0,0,2,8,0,0
居其所而眾星共之,3,敬而遠之,0,0,2,8,0,0
居其所而眾星共之,4,知其不可而为之,0,0,3,7,0,0
居其所而眾星共之,5,馬其頓共和國,0,0,2,7,0,0
居其所而眾星共之,6,马其顿共和国,0,0,2,7,0,0
居其所而眾星共之,7,所到之处,0,0,2,8,0,0
居其所而眾星共之,8,怒而撓之,0,0,2,8,0,0
居其所而眾星共之,9,分而治之,0,0,2,8,0,0
居其所而眾星共之,10,公共場所,0,0,2,8,0,0
「一言蔽之」,1,簡言之,0,0,2,6,0,0
「一言蔽之」,2,五分之一,0,0,2,6,0,0
「一言蔽之」,3,一时之选,0,0,2,6,0,0
「一言蔽之」,4,一字之師,0,0,2,6,0,0
「一言蔽之」,5,言行若一,0,0,2,6,0,0
「一言蔽之」,6,違心之言,0,0,2,6,0,0
「一言蔽之」,7,之一,0,0,2,5,0,0
「一言蔽之」,8,一言為重,0,0,2,6,0,0
「一言蔽之」,9,付之一歎,0,0,2,6,0,0
「一言蔽之」,10,言下之意,0,0,2,6,0,0
相維辟公,1,公共密钥基础结构,0,0,1,8,0,0
相維辟公,2,英国电讯公司,0,0,1,6,0,0
相維辟公,3,滿公,0,0,1,4,0,0
相維辟公,4,公主車,0,0,1,4,0,0
相維辟公,5,相中,0,0,1,3,0,0
相維辟公,6,公立,0,0,1,4,0,0
相維辟公,7,相輪,0,0,1,3,0,0
相維辟公,8,維多利亞公園,0,0,2,6,0,0
相維辟公,9,相公,0,0,2,3,0,0
相維辟公,10,星相术,0,0,1,4,0,0
小委員會,1,組織委員會,0,0,3,5,0,0
小委員會,2,委員會會議,0,0,3,4,0,0
小委員會,3,小刀會,0,0,2,3,0,0
小委員會,4,中央常務委員會,0,0,3,7,0,0
小委員會,5,愛國衛生運動委員會,0,0,3,9,0,0
小委員會,6,常務委員會,0,0,3,5,0,0
小委員會,7,小組委員會,0,0,4,4,0,0
小委員會,8,管理委員會,0,0,3,5,0,0
小委員會,9,大柴旦行政委員會,0,0,3,8,0,0
小委員會,10,國際奧林匹克委員會,0,0,3,9,0,0
分科委員会,1,小組委員會,0,0,2,3,0,0
分科委員会,2,歐盟委員會,0,0,2,3,0,0
分科委員会,3,中央執行委員會,0,0,2,7,0,0
分科委員会,4,國家標準化管理委員會,0,0,2,10,0,0
分科委員会,5,三分科经,0,0,2,5,0,0
分科委員会,6,中央常務委員會,0,0,2,7,0,0
分科委員会,7,憲法監護委員會,0,0,2,7,0,0
分科委員会,8,教育委員會,0,0,2,3,0,0
分科委員会,9,國家電力監管委員會,0,0,2,9,0,0
分科委員会,10,紀律檢查委員會,0,0,2,7,0,0
六十而耳順,1,十六谛,0,0,2,5,0,0
六十而耳順,2,六十四位元,0,0,2,3,0,0
六十而耳順,3,倾耳而听,0,0,2,4,0,0
六十而耳順,4,本笃·十六世,0,0,2,6,0,0
六十而耳順,5,十六国,0,0,2,5,0,0
六十而耳順,6,十六国春秋,0,0,2,5,0,0
六十而耳順,7,六十八,0,0,2,3,0,0
六十而耳順,8,十六,0,0,2,5,0,0
六十而耳順,9,大云经请雨品第六十四,0,0,2,10,0,0
六十而耳順,10,大雲經請雨品第六十四,0,0,2,10,0,0
孟懿子問孝,1,鼻子,0,0,1,5,0,0
孟懿子問孝,2,胤子,0,0,1,5,0,0
孟懿子問孝,3,碾子山区,0,0,1,5,0,0
孟懿子問孝,4,鑷子,0,0,1,5,0,0
孟懿子問孝,5,法王子,0,0,1,4,0,0
孟懿子問孝,6,释迦十大弟子,0,0,1,6,0,0
孟懿子問孝,7,聖善住意天子所問經,0,0,2,9,0,0
孟懿子問孝,8,虎父無犬子,0,0,1,5,0,0
孟懿子問孝,9,追根問底,0,0,1,5,0,0
孟懿子問孝,10,昭明太子,0,0,1,5,0,0
孟孫問孝於我,1,齊孝公,0,0,1,6,0,0
孟孫問孝於我,2,我昔所造諸惡業,0,0,1,7,0,0
孟孫問孝於我,3,諸法無我,0,0,1,6,0,0
孟孫問孝於我,4,問道於盲,0,0,2,6,0,0
孟孫問孝於我,5,孟山都,0,0,1,5,0,0
孟孫問孝於我,6,我少,0,0,1,6,0,0
孟孫問孝於我,7,置之不問,0,0,1,6,0,0
孟孫問孝於我,8,三人行，必有我师,0,0,1,8,0,0
孟孫問孝於我,9,孫綽,0,0,1,6,0,0
孟孫問孝於我,10,訪親問友,0,0,1,5,0,0
生事之以禮,1,衰之以屬,0,0,2,5,0,0
生事之以禮,2,授之以魚不如授之以漁,0,0,2,10,0,0
生事之以禮,3,尋事生非,0,0,2,4,0,0
生事之以禮,4,初生之犊,0,0,2,4,0,0
生事之以禮,5,国之大事,0,0,2,5,0,0
生事之以禮,6,幼吾幼以及人之幼,0,0,2,7,0,0
生事之以禮,7,好事之徒,0,0,2,3,0,0
生事之以禮,8,之所以,0,0,2,5,0,0
生事之以禮,9,差之毫厘，谬以千里,0,0,2,9,0,0
生事之以禮,10,差之毫釐，謬以千里,0,0,2,9,0,0
製造事端、糾紛,1,製造廠,0,0,2,5,0,0
製造事端、糾紛,2,肇事者,0,0,1,7,0,0
製造事端、糾紛,3,中國海事局,0,0,1,7,0,0
製造事端、糾紛,4,理事会,0,0,1,7,0,0
製造事端、糾紛,5,製造業,0,0,2,5,0,0
製造事端、糾紛,6,安然無事,0,0,1,7,0,0
製造事端、糾紛,7,肇造,0,0,1,6,0,0
製造事端、糾紛,8,時事新報,0,0,1,7,0,0
製造事端、糾紛,9,异端者,0,0,1,7,0,0
製造事端、糾紛,10,刑事法院,0,0,1,7,0,0
死葬之以禮,1,悉以咨之,0,0,2,5,0,0
死葬之以禮,2,绳之以法,0,0,2,5,0,0
死葬之以禮,3,幼吾幼以及人之幼,0,0,2,7,0,0
死葬之以禮,4,人之將死，其言也善,0,0,2,9,0,0
死葬之以禮,5,代之以,0,0,2,5,0,0
死葬之以禮,6,何以言之,0,0,2,5,0,0
死葬之以禮,7,死无葬身之地,0,0,3,5,0,0
死葬之以禮,8,死無葬身之地,0,0,3,5,0,0
死葬之以禮,9,百足之蟲死而不僵,0,0,2,7,0,0
死葬之以禮,10,差之毫厘，谬以千里,0,0,2,9,0,0
孟武伯問孝,1,歐伯林,0,0,1,5,0,0
孟武伯問孝,2,問鼎中原,0,0,1,5,0,0
孟武伯問孝,3,利伯曼,0,0,1,5,0,0
孟武伯問孝,4,葉問,0,0,1,5,0,0
孟武伯問孝,5,晉孝武,0,0,2,5,0,0
孟武伯問孝,6,标称核武器,0,0,1,5,0,0
孟武伯問孝,7,孟良崮战役,0,0,1,4,0,0
孟武伯問孝,8,比武,0,0,1,4,0,0
孟武伯問孝,9,魏孝武帝,0,0,2,5,0,0
孟武伯問孝,10,希伯萊大學,0,0,1,5,0,0
父母唯其疾之憂,1,天下之憂,0,0,2,7,0,0
父母唯其疾之憂,2,曾祖父母,0,0,2,7,0,0
父母唯其疾之憂,3,反其道而行之,0,0,2,6,0,0
父母唯其疾之憂,4,需要是发明之母,0,0,2,6,0,0
父母唯其疾之憂,5,父母双亡,0,0,2,5,0,0
父母唯其疾之憂,6,同母异父,0,0,2,6,0,0
父母唯其疾之憂,7,父母恩重難报經,0,0,2,5,0,0
父母唯其疾之憂,8,再生父母,0,0,2,7,0,0
父母唯其疾之憂,9,义父母,0,0,2,7,0,0
父母唯其疾之憂,10,愛父母,0,0,2,7,0,0
子游問孝,1,馱子,0,0,1,4,0,0
子游問孝,2,绿帽子,0,0,1,4,0,0
子游問孝,3,蘇婆呼童子請問經,0,0,2,8,0,0
子游問孝,4,媽了個巴子,0,0,1,5,0,0
子游問孝,5,舍利子塔,0,0,1,4,0,0
子游問孝,6,聖善住意天子所問經,0,0,2,9,0,0
子游問孝,7,叶子板,0,0,1,4,0,0
子游問孝,8,扯嗓子,0,0,1,4,0,0
子游問孝,9,招財童子,0,0,1,4,0,0
子游問孝,10,童子經念誦法,0,0,1,6,0,0
是謂能養,1,營養品,0,0,1,4,0,0
是謂能養,2,稱謂,0,0,1,3,0,0
是謂能養,3,效能,0,0,1,4,0,0
是謂能養,4,也是,0,0,1,4,0,0
是謂能養,5,風能,0,0,1,4,0,0
是謂能養,6,能变,0,0,1,4,0,0
是謂能養,7,養生,0,0,1,4,0,0
是謂能養,8,主謂短語,0,0,1,3,0,0
是謂能養,9,能立,0,0,1,4,0,0
是謂能養,10,正是四國,0,0,1,4,0,0
比喻奸佞小人,1,小綠人,0,0,2,6,0,0
比喻奸佞小人,2,阿比西尼亚人,0,0,2,5,0,0
比喻奸佞小人,3,比喻义,0,0,2,4,0,0
比喻奸佞小人,4,助人为乐,0,0,1,6,0,0
比喻奸佞小人,5,比比皆是,0,0,1,5,0,0
比喻奸佞小人,6,党外人士,0,0,1,6,0,0
比喻奸佞小人,7,人魚小姐,0,0,2,6,0,0
比喻奸佞小人,8,远小人,0,0,2,6,0,0
比喻奸佞小人,9,哈比人,0,0,2,6,0,0
比喻奸佞小人,10,小人书,0,0,2,6,0,0
遮蓋、擋住,1,跳擋,0,0,1,5,0,0
遮蓋、擋住,2,摀住臉,0,0,1,5,0,0
遮蓋、擋住,3,住房和城乡建设部,0,0,1,8,0,0
遮蓋、擋住,4,擋泥板,0,0,1,5,0,0
遮蓋、擋住,5,蓋飯,0,0,1,5,0,0
遮蓋、擋住,6,遮擋,0,0,2,4,0,0
遮蓋、擋住,7,遮住,0,0,2,4,0,0
遮蓋、擋住,8,遮天蔽日,0,0,1,4,0,0
遮蓋、擋住,9,吃住,0,0,1,5,0,0
遮蓋、擋住,10,遮莫,0,0,1,4,0,0
道之以政,1,以王之政,0,0,3,3,0,0
道之以政,2,悉以咨之,0,0,2,4,0,0
道之以政,3,幼吾幼，以及人之幼,0,0,2,9,0,0
道之以政,4,授之以鱼不如授之以渔,0,0,2,8,0,0
道之以政,5,文以載道,0,0,2,4,0,0
道之以政,6,治人之道,0,0,2,4,0,0
道之以政,7,養生之道,0,0,2,4,0,0
道之以政,8,失之毫厘，谬以千里,0,0,2,8,0,0
道之以政,9,孔孟之道,0,0,2,4,0,0
道之以政,10,道之所存，师之所存,0,0,2,7,0,0
民免而無恥,1,毫無效果,0,0,1,5,0,0
民免而無恥,2,說無垢稱經疏,0,0,1,6,0,0
民免而無恥,3,子民,0,0,1,5,0,0
民免而無恥,4,無線電管理委員會,0,0,1,8,0,0
民免而無恥,5,大而無當,0,0,2,5,0,0
民免而無恥,6,有百利而無一害,0,0,2,7,0,0
民免而無恥,7,贫而乐道,0,0,1,5,0,0
民免而無恥,8,全民投票,0,0,1,5,0,0
民免而無恥,9,秘而不宣,0,0,1,5,0,0
民免而無恥,10,抵足而眠,0,0,1,4,0,0
罷免官職,1,免费,0,0,1,4,0,0
罷免官職,2,執政官,0,0,1,3,0,0
罷免官職,3,寬免,0,0,1,3,0,0
罷免官職,4,官僚作风,0,0,1,4,0,0
罷免官職,5,請職,0,0,1,4,0,0
罷免官職,6,臨難苟免,0,0,1,4,0,0
罷免官職,7,免稅,0,0,1,4,0,0
罷免官職,8,達官貴人,0,0,1,4,0,0
罷免官職,9,审官院,0,0,1,4,0,0
罷免官職,10,職業運動員,0,0,1,5,0,0
引史記,1,記工,0,0,1,3,0,0
引史記,2,引著,0,0,1,2,0,0
引史記,3,提學御史,0,0,1,4,0,0
引史記,4,梁京寺記,0,0,1,4,0,0
引史記,5,长史,0,0,1,2,0,0
引史記,6,飛行記錄儀,0,0,1,4,0,0
引史記,7,三國史記,0,0,2,4,0,0
引史記,8,變音記號,0,0,1,3,0,0
引史記,9,引業,0,0,1,2,0,0
引史記,10,歷史語言學,0,0,1,4,0,0
古時史書的通稱,1,歷史時期,0,0,2,7,0,0
古時史書的通稱,2,古時候,0,0,2,5,0,0
古時史書的通稱,3,通古斯,0,0,2,7,0,0
古時史書的通稱,4,古盗鸟,0,0,1,6,0,0
古時史書的通稱,5,復興時代,0,0,1,7,0,0
古時史書的通稱,6,姓名全稱,0,0,1,7,0,0
古時史書的通稱,7,通史,0,0,2,7,0,0
古時史書的通稱,8,史前古器物,0,0,2,7,0,0
古時史書的通稱,9,錄取通知書,0,0,2,7,0,0
古時史書的通稱,10,時運亨通,0,0,2,7,0,0
理往事,1,联合国讬管理事会,0,0,2,8,0,0
理往事,2,理監事,0,0,2,1,0,0
理往事,3,往事如风,0,0,2,4,0,0
理往事,4,擺事實講道理,0,0,2,6,0,0
理往事,5,总理执事,0,0,2,4,0,0
理往事,6,安全理事會,0,0,2,5,0,0
理往事,7,不明事理,0,0,2,3,0,0
理往事,8,外交關係理事會,0,0,2,7,0,0
理往事,9,事理,0,0,2,3,0,0
理往事,10,安全理事会,0,0,2,5,0,0
皆衰世之事,1,世事,0,0,2,5,0,0
皆衰世之事,2,愛美之心，人皆有之,0,0,2,9,0,0
皆衰世之事,3,萬事亨通,0,0,1,5,0,0
皆衰世之事,4,光纤衰减,0,0,1,5,0,0
皆衰世之事,5,四海之內皆兄弟,0,0,2,7,0,0
皆衰世之事,6,當世之冠,0,0,2,5,0,0
皆衰世之事,7,处世之道,0,0,2,5,0,0
皆衰世之事,8,衰之以属,0,0,2,5,0,0
皆衰世之事,9,当世之冠,0,0,2,5,0,0
皆衰世之事,10,事跡,0,0,1,5,0,0
門人惑,1,蛊惑人心,0,0,2,4,0,0
門人惑,2,鐵人,0,0,1,2,0,0
門人惑,3,斷人命學處,0,0,1,4,0,0
門人惑,4,麦克白夫人,0,0,1,5,0,0
門人惑,5,傍人門戶,0,0,2,3,0,0
門人惑,6,看門人,0,0,2,3,0,0
門人惑,7,挨門逐戶,0,0,1,4,0,0
門人惑,8,不省人事,0,0,1,4,0,0
門人惑,9,扣人心弦,0,0,1,3,0,0
門人惑,10,人间界,0,0,1,3,0,0
藏神而見光,1,見光死,0,0,2,5,0,0
藏神而見光,2,寿光,0,0,1,5,0,0
藏神而見光,3,從一而終,0,0,1,4,0,0
藏神而見光,4,太阳神,0,0,1,5,0,0
藏神而見光,5,神經學家,0,0,1,5,0,0
藏神而見光,6,光澤縣,0,0,1,5,0,0
藏神而見光,7,藏族人,0,0,1,4,0,0
藏神而見光,8,敬鬼神而遠之,0,0,2,6,0,0
藏神而見光,9,見而色喜,0,0,2,5,0,0
藏神而見光,10,見難而上,0,0,2,4,0,0
外博觀,1,意料之外,0,0,1,4,0,0
外博觀,2,外觀,0,0,2,2,0,0
外博觀,3,外交關係,0,0,1,3,0,0
外博觀,4,坦博拉,0,0,1,2,0,0
外博觀,5,博蒙特,0,0,1,3,0,0
外博觀,6,圓頓止觀,0,0,1,4,0,0
外博觀,7,人外有人，天外有天,0,0,1,9,0,0
外博觀,8,雨際外道,0,0,1,4,0,0
外博觀,9,圣经外传,0,0,1,4,0,0
外博觀,10,外貌協會,0,0,1,3,0,0
任群賢,1,多任务处理,0,0,1,5,0,0
任群賢,2,人民群众,0,0,1,4,0,0
任群賢,3,蒞任,0,0,1,3,0,0
任群賢,4,變換群,0,0,1,3,0,0
任群賢,5,副主任,0,0,1,3,0,0
任群賢,6,群件,0,0,1,3,0,0
任群賢,7,推群獨步,0,0,1,3,0,0
任群賢,8,塞舌爾群島,0,0,1,5,0,0
任群賢,9,耶律賢,0,0,1,2,0,0
任群賢,10,任事,0,0,1,2,0,0
群賢畢至,1,普賢三昧,0,0,1,3,0,0
群賢畢至,2,傲视群伦,0,0,1,4,0,0
群賢畢至,3,賢劫十六尊,0,0,1,5,0,0
群賢畢至,4,吉尔伯特群岛,0,0,1,6,0,0
群賢畢至,5,畢業,0,0,1,4,0,0
群賢畢至,6,群体,0,0,1,3,0,0
群賢畢至,7,賢達,0,0,1,4,0,0
群賢畢至,8,群猴猴族,0,0,1,3,0,0
群賢畢至,9,皮特凱恩群島,0,0,1,6,0,0
群賢畢至,10,北馬里亞納群島,0,0,1,7,0,0
自勞於事,1,軒軒自得,0,0,1,4,0,0
自勞於事,2,來源於,0,0,1,3,0,0
自勞於事,3,局限於,0,0,1,3,0,0
自勞於事,4,詹事,0,0,1,4,0,0
自勞於事,5,一年之計在於春,0,0,1,7,0,0
自勞於事,6,門源回族自治縣,0,0,1,7,0,0
自勞於事,7,自然之友,0,0,1,3,0,0
自勞於事,8,沿河土家族自治县,0,0,1,8,0,0
自勞於事,9,万事,0,0,1,4,0,0
自勞於事,10,任事,0,0,1,4,0,0
汎愛群生,1,西南中沙群岛,0,0,1,6,0,0
汎愛群生,2,生物多樣性,0,0,1,5,0,0
汎愛群生,3,微生物學,0,0,1,4,0,0
汎愛群生,4,由憐生愛,0,0,2,4,0,0
汎愛群生,5,愛好,0,0,1,4,0,0
汎愛群生,6,濟生,0,0,1,4,0,0
汎愛群生,7,寫生,0,0,1,4,0,0
汎愛群生,8,生產單位,0,0,1,4,0,0
汎愛群生,9,橫生,0,0,1,4,0,0
汎愛群生,10,夾生,0,0,1,4,0,0
休形無見影,1,立竿見影,0,0,2,5,0,0
休形無見影,2,無形中,0,0,2,4,0,0
休形無見影,3,無形貿易,0,0,2,4,0,0
休形無見影,4,無形輸出,0,0,2,4,0,0
休形無見影,5,形影,0,0,2,5,0,0
休形無見影,6,畫影圖形,0,0,2,5,0,0
休形無見影,7,形影不離,0,0,2,5,0,0
休形無見影,8,身形無間,0,0,2,3,0,0
休形無見影,9,不可見有對色,0,0,1,6,0,0
休形無見影,10,形影相弔,0,0,2,5,0,0
民無所好,1,無所有處定,0,0,2,5,0,0
民無所好,2,如其所好,0,0,2,2,0,0
民無所好,3,無所謂,0,0,2,4,0,0
民無所好,4,居無定所,0,0,2,3,0,0
民無所好,5,無所作為,0,0,2,4,0,0
民無所好,6,四無所畏,0,0,2,2,0,0
民無所好,7,空無所有,0,0,2,2,0,0
民無所好,8,阿其所好,0,0,2,2,0,0
民無所好,9,投其所好,0,0,2,2,0,0
民無所好,10,無所事事,0,0,2,4,0,0
君無以權,1,無以復加,0,0,2,4,0,0
君無以權,2,無以為報,0,0,2,4,0,0
君無以權,3,君權,0,0,2,3,0,0
君無以權,4,無諸,0,0,1,4,0,0
君無以權,5,毫無二致,0,0,1,3,0,0
君無以權,6,無尾熊,0,0,1,4,0,0
君無以權,7,無軌電車,0,0,1,4,0,0
君無以權,8,宜君,0,0,1,4,0,0
君無以權,9,遺害無窮,0,0,1,4,0,0
君無以權,10,無主句,0,0,1,4,0,0
民無所惡,1,無所有,0,0,2,4,0,0
民無所惡,2,無所有處定,0,0,2,5,0,0
民無所惡,3,同民所欲,0,0,2,3,0,0
